PX_CD,PX_HSDW_SHORT_DESC,PX_HSDW_LONG_DESC
97020,"apply modality,1+area,microwave",application of a modality to one or more areas; microwave
97022,whirlpool therapy,application of a modality to 1 or more areas; whirlpool
97024,"diathermy eg, microwave","application of a modality to 1 or more areas; diathermy (eg, microwave)"
97026,infrared therapy,application of a modality to 1 or more areas; infrared
97028,ultraviolet therapy,application of a modality to 1 or more areas; ultraviolet
97032,electrical stimulation,"application of a modality to one or more areas; electrical stimulation (manual), each 15 minutes"
97033,electric current therapy,"application of a modality to one or more areas; iontophoresis, each 15 minutes"
97034,contrast bath therapy,"application of a modality to one or more areas; contrast baths, each 15 minutes"
97035,ultrasound therapy,"application of a modality to one or more areas; ultrasound, each 15 minutes"
97036,hydrotherapy,"application of a modality to one or more areas; hubbard tank, each 15 minutes"
97039,physical therapy treatment,unlisted modality (specify type and time if constant attendance)
97110,therapeutic exercises,"therapeutic procedure, one or more areas, each 15 minutes; therapeutic exercises to develop strength and endurance, range of motion and flexibility"
97112,neuromuscular reeducation,"therapeutic procedure, one or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sitting and/or standing activities"
97113,aquatic therapy/exercises,"therapeutic procedure, one or more areas, each 15 minutes; aquatic therapy with therapeutic exercises"
97116,gait training therapy,"therapeutic procedure, one or more areas, each 15 minutes; gait training (includes stair climbing)"
97122,manual traction therapy,"therapeutic procedure, one or more areas, each 15 minutes; traction, manual"
97124,massage therapy,"therapeutic procedure, one or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)"
97139,physical medicine procedure,unlisted therapeutic procedure (specify)
97140,manual therapy,"manual therapy techniques (eg, mobilization/ manipulation, manual lymphatic drainage, manual traction), one or more regions, each 15 minutes"
97150,group therapeutic procedures,"therapeutic procedure(s), group (2 or more individuals)"
97250,myofascial release,"myofascial release/soft tissue mobilization, one or more regions"
97260,regional manipulation,"manipulation (cervical, thoracic, lumbosacral, sacroiliac, hand, wrist) (separate procedure), performed by physician; one area"
97261,additional regional manipulations,"manipulation (cervical, thoracic, lumbosacral, sacroiliac, hand, wrist) (separate procedure), performed by physician; each additional area"
97265,joint mobilization,"joint mobilization, one or more areas (peripheral or spinal)"
97500,orthotics training,"orthotics training (dynamic bracing, splinting), upper extremities; initial 30 minutes, each visit"
97501,additional orthotics training,"orthotics training (dynamic bracing, splinting), upper extremities; each additional 15 minutes"
97504,"orthotics fit/train, ea 15 min","orthotic(s) fitting and training, upper extremity(ies), lower extremity(ies), and/or trunk, each 15 minutes"
97520,"prosth train, extremities,ea 15 min","prosthetic training, upper and/or lower extremities, each 15 minutes"
97521,additional prosthetic training,prosthetic training; each additional 15 minutes
97530,therapeutic activities,"therapeutic activities, direct (one-on-one) patient contact by the provider (use of dynamic activities to improve functional performance), each 15 minutes"
97532,cognitive skills development,"development of cognitive skills to improve attention, memory, problem solving (includes compensatory training), direct (one-on-one) patient contact by the provider, each 15 minutes"
97533,sensory integration,"sensory integrative techniques to enhance sensory processing and promote adaptive responses to environmental demands, direct (one-on-one) patient contact by the provider, each 15 minutes"
97535,self care mngment training,"self-care/home management training (eg, activities of daily living (adl) and compensatory training, meal preparation, safety procedures, and instructions in use of assistive technology devices/adaptive equipment) direct one-on-one contact by provider, each 15 minutes"
97537,community/work reintegration,"community/work reintegration training (eg, shopping, transportation, money management, avocational activities and/or work environment/modification analysis, work task analysis, use of assistive technology device/adaptive equipment), direct one-on-one contact by provider, each 15 minutes"
97540,training for daily living,training for daily living
97541,add'l training for daily living,add'l training for daily living
97542,wheelchair mngment training,"wheelchair management (eg, assessment, fitting, training), each 15 minutes"
97545,work hardening,work hardening/conditioning; initial 2 hours
97546,work hardening add-on,work hardening/conditioning; each additional hour (list separately in addition to code for primary procedure)
97597,active wound care/20 cm or <,"removal of devitalized tissue from wound(s), selective debridement, without anesthesia (eg, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps), with or without topical application(s), wound assessment, and instruction(s) for ongoing care, may include use of a whirlpool, per session; total wound(s) surface area less than or equal to 20 square centimeters"
97598,active wound care > 20 cm,"removal of devitalized tissue from wound(s), selective debridement, without anesthesia (eg, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps), with or without topical application(s), wound assessment, and instruction(s) for ongoing care, may include use of a whirlpool, per session; total wound(s) surface area greater than 20 square centimeters"
97601,"rmv devitlzd tis, wnd selectv debrd","removal of devitalized tissue from wound(s); selective debridement, without anesthesia (eg, high pressure waterjet, sharp selective debridement with scissors, scalpel and tweezers), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session"
97602,wound(s) care non-selective,"removal of devitalized tissue from wound(s), non-selective debridement, without anesthesia (eg, wet-to-moist dressings, enzymatic, abrasion), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session"
97605,"neg press wound tx, < 50 cm","negative pressure wound therapy (eg, vacuum assisted drainage collection), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session; total wound(s) surface area less than or equal to 50 square centimeters"
97606,"neg press wound tx, > 50 cm","negative pressure wound therapy (eg, vacuum assisted drainage collection), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session; total wound(s) surface area greater than 50 square centimeters"
97700,physical training checkout,physical training checkout
97701,add'l physical training checkout,add'l physical training checkout
97703,orthotic/prosthetic checkout,"checkout for orthotic/prosthetic use, established patient, each 15 minutes"
97750,physical performance test,"physical performance test or measurement (eg, musculoskeletal, functional capacity), with written report, each 15 minutes"
97755,assistive technology assess,"assistive technology assessment (eg, to restore, augment or compensate for existing function, optimize functional tasks and/or maximize environmental accessibility), direct one-on-one contact by provider, with written report, each 15 minutes"
97760,orthotic mgmt and training,"orthotic(s) management and training (including assessment and fitting when not otherwise reported), upper extremity(s), lower extremity(s) and/or trunk, each 15 minutes"
97761,prosthetic training,"prosthetic training, upper and/or lower extremity(s), each 15 minutes"
97762,c/o for orthotic/prosth use,"checkout for orthotic/prosthetic use, established patient, each 15 minutes"
97770,cognitive skill development,"development of cognitive skills to improve attention, memory, problem solving, includes compensatory training and/or sensory integrative activities, direct (one on one) patient contact by the provider, each 15 minutes"
97780,"acupuncture, w/o electrical stim","acupuncture, one or more needles; without electrical stimulation"
97781,"acupuncture, w/electrical stim","acupuncture, one or more needles; with electrical stimulation"
97799,physical medicine procedure,unlisted physical medicine/rehabilitation service or procedure
97802,"medical nutrition, indiv, in","medical nutrition therapy; initial assessment and intervention, individual, face-to-face with the patient, each 15 minutes"
97803,"med nutrition, indiv, subseq","medical nutrition therapy; re-assessment and intervention, individual, face-to-face with the patient, each 15 minutes"
97804,"medical nutrition, group","medical nutrition therapy; group (2 or more individual(s)), each 30 minutes"
97810,acupunct w/o stimul 15 min,"acupuncture, 1 or more needles; without electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient"
97811,acupunct w/o stimul addl 15m,"acupuncture, 1 or more needles; without electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (list separately in addition to code for primary procedure)"
97813,acupunct w/stimul 15 min,"acupuncture, 1 or more needles; with electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient"
97814,acupunct w/stimul addl 15m,"acupuncture, 1 or more needles; with electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (list separately in addition to code for primary procedure)"
98,nonoperative foreign body removal,miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus
98.0,remove intraluminal foreign body,miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from digestive system without incision
98.01,"remove intralum fb, mouth",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from digestive system without incision; removal of intraluminal foreign body from mouth without incision
98.02,"remove intralum fb, esophagus",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from digestive system without incision; removal of intraluminal foreign body from esophagus without incision
98.03,"remove intralum fb, stomach",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from digestive system without incision; removal of intraluminal foreign body from stomach and small intestine without incision
98.04,"remove intralum fb, large intestine",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from digestive system without incision; removal of intraluminal foreign body from large intestine without incision
98.05,"remove intralum fb, rectum/anus",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from digestive system without incision; removal of intraluminal foreign body from rectum and anus without incision
98.1,remove intraluminal foreign body,miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision
98.11,"remove intralum fb, ear",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision; removal of intraluminal foreign body from ear without incision
98.12,"remove intralum fb, nose",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision; removal of intraluminal foreign body from nose without incision
98.13,"remove intralum fb, pharynx",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision; removal of intraluminal foreign body from pharynx without incision
98.14,"remove intralum fb, larynx",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision; removal of intraluminal foreign body from larynx without incision
98.15,"remove intralum fb, trachea/bronch",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision; removal of intraluminal foreign body from trachea and bronchus without incision
98.16,"remove intralum fb, uterus",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision; removal of intraluminal foreign body from uterus without incision
98.17,"remove intralum fb, vagina",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision; removal of intraluminal foreign body from vagina without incision
98.18,"remove intralum fb, artific stoma",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision; removal of intraluminal foreign body from artificial stoma without incision
98.19,"remove intralum fb, urethra",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of intraluminal foreign body from other sites without incision; removal of intraluminal foreign body from urethra without incision
98.2,remove foreign body w/o incision,miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision
98.20,remove foreign body nos,"miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of foreign body, not otherwise specified"
98.21,"remove superficial fb, eye",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of superficial foreign body from eye without incision
98.22,"remove other fb, head/neck",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of other foreign body without incision from head and neck
98.23,"remove foreign body, vulva",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of foreign body from vulva without incision
98.24,"remove foreign body, scrotum",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of foreign body from scrotum or penis without incision
98.25,"remove foreign body, trunk","miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of other foreign body without incision from trunk except scrotum, penis, or vulva"
98.26,"remove foreign body, hand",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of foreign body from hand without incision
98.27,"remove foreign body, upper limb","miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of foreign body without incision from upper limb, except hand"
98.28,"remove foreign body, foot",miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of foreign body from foot without incision
98.29,"remove foreign body, lower limb","miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; removal of other foreign body without incision; removal of foreign body without incision from lower limb, except foot"
98.5,extracorporeal lithotripsy (eswl),miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; extracorporeal shockwave lithotripsy [eswl]
98.51,eswl of kidney/ureter/bladder,"miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; extracorporeal shockwave lithotripsy [eswl]; extracorporeal shockwave lithotripsy [eswl] of the kidney, ureter and/or bladder"
98.52,eswl of gallbladder/bile duct,miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; extracorporeal shockwave lithotripsy [eswl]; extracorporeal shockwave lithotripsy [eswl] of the gallbladder and/or bile duct
98.59,eswl of other sites,miscellaneous diagnostic and therapeutic procedures; nonoperative removal of foreign body or calculus; extracorporeal shockwave lithotripsy [eswl]; extracorporeal shockwave lithotripsy of other sites
98925,osteopathic manipulation,osteopathic manipulative treatment (omt); 1-2 body regions involved
98926,osteopathic manipulation,osteopathic manipulative treatment (omt); 3-4 body regions involved
98927,osteopathic manipulation,osteopathic manipulative treatment (omt); 5-6 body regions involved
98928,osteopathic manipulation,osteopathic manipulative treatment (omt); 7-8 body regions involved
98929,osteopathic manipulation,osteopathic manipulative treatment (omt); 9-10 body regions involved
98940,chiropractic manipulation,"chiropractic manipulative treatment (cmt); spinal, 1-2 regions"
98941,chiropractic manipulation,"chiropractic manipulative treatment (cmt); spinal, 3-4 regions"
98942,chiropractic manipulation,"chiropractic manipulative treatment (cmt); spinal, 5 regions"
98943,chiropractic manipulation,"chiropractic manipulative treatment (cmt); extraspinal, 1 or more regions"
98960,"self-mgmt educ & train, 1 pt","education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes; individual patient"
98961,"self-mgmt educ/train, 2-4 pt","education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes; 2-4 patients"
98962,"self-mgmt educ/train, 5-8 pt","education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes; 5-8 patients"
98966,hc pro phone call 5-10 min,"telephone assessment and management service provided by a qualified nonphysician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 days nor leading to an assessment and management service or procedure within the next 24 hours or soonest available appointment; 5-10 minutes of medical discussion"
98967,hc pro phone call 11-20 min,"telephone assessment and management service provided by a qualified nonphysician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 days nor leading to an assessment and management service or procedure within the next 24 hours or soonest available appointment; 11-20 minutes of medical discussion"
98968,hc pro phone call 21-30 min,"telephone assessment and management service provided by a qualified nonphysician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 days nor leading to an assessment and management service or procedure within the next 24 hours or soonest available appointment; 21-30 minutes of medical discussion"
98969,online service by hc pro,"online assessment and management service provided by a qualified nonphysician health care professional to an established patient, guardian, or health care provider not originating from a related assessment and management service provided within the previous 7 days, using the internet or similar electronic communications network"
99,nonoperative procedures,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures
99.0,transfusion of blood,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components
99.00,autologous whole blood transfusion,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; perioperative autologous transfusion of whole blood or blood components
99.01,exchange transfusion,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; exchange transfusion
99.02,autotransfusion of whole blood,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; transfusion of previously collected autologous blood
99.03,transfusion of whole blood nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; other transfusion of whole blood
99.04,transfusion of packed cells,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; transfusion of packed cells
99.05,transfusion of platelets,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; transfusion of platelets
99.06,transfusion of coagulation factors,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; transfusion of coagulation factors
99.07,transfusion of serum nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; transfusion of other serum
99.08,transfusion of blood expander,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; transfusion of blood expander
99.09,transfusion nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; transfusion of blood and blood components; transfusion of other substance
99.1,therapeutic injection/infusion,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance
99.10,inject/infuse thrombolytic agent,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; injection or infusion of thrombolytic agent
99.11,inject rh immune globulin,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; injection of rh immune globulin
99.12,immunization for allergy,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; immunization for allergy
99.13,immunization for autoimmune disease,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; immunization for autoimmune disease
99.14,inject/infuse gamma globulin,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; injection or infusion of gamma globulin
99.15,parenteral nutrition infusion,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; parenteral infusion of concentrated nutritional substances
99.16,inject antidote,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; injection of antidote
99.17,inject insulin,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; injection of insulin
99.18,inject/infuse electrolyte,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; injection or infusion of electrolytes
99.19,inject anticoagulant,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of therapeutic or prophylactic substance; injection of anticoagulant
99.2,therapeutic injection/infusion,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance
99.20,inject/infuse platelet inhibitor,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance; injection of infusion of platelet inhibitor
99.21,inject antibiotic,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance; injection of antibiotic
99.22,inject anti-infective nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance; injection of other anti-infective
99.23,inject steroid,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance; injection of steroid
99.24,inject hormone nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance; injection of other hormone
99.25,inject cancer chemotherapeutic,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance; injection or infusion of cancer chemotherapeutic substance
99.26,inject tranquilizer,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance; injection of tranquilizer
99.27,iontophoresis,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance; iontophoresis
99.28,inject biologic response modifier,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance; injection or infusion of biological response modifier [brm] as an antineoplastic agent
99.29,inject therapeutic/prophylactic nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; injection or infusion of other therapeutic or prophylactic substance
99.3,prophylactic vaccination,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases
99.31,vaccinate against cholera,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases; vaccination against cholera
99.32,vaccinate against typhoid,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases; vaccination against typhoid and paratyphoid fever
99.33,vaccinate against tuberculosis,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases; vaccination against tuberculosis
99.34,vaccinate against plague,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases; vaccination against plague
99.35,vaccinate against tularemia,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases; vaccination against tularemia
99.36,administer diphtheria toxoid,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases; administration of diphtheria toxoid
99.37,vaccinate against pertussis,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases; vaccination against pertussis
99.38,administer tetanus toxoid,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases; administration of tetanus toxoid
99.39,administer diphther-tetanus-pertus,"miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain bacterial diseases; administration of diphtheria-tetanus-pertussis, combined"
99.4,prophylactic vaccination,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain viral diseases
99.41,administer poliomyelitis vaccine,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain viral diseases; administration of poliomyelitis vaccine
99.42,vaccinate against smallpox,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain viral diseases; vaccination against smallpox
99.43,vaccinate against yellow fever,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain viral diseases; vaccination against yellow fever
99.44,vaccinate against rabies,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain viral diseases; vaccination against rabies
99.45,vaccinate against measles,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain viral diseases; vaccination against measles
99.46,vaccinate against mumps,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain viral diseases; vaccination against mumps
99.47,vaccinate against rubella,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain viral diseases; vaccination against rubella
99.48,administer measles-mumps-rubella,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; prophylactic vaccination and inoculation against certain viral diseases; administration of measles-mumps-rubella vaccine
99.5,vaccination and inoculation,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation
99.51,vaccinate against common cold,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation; prophylactic vaccination against the common cold
99.52,vaccinate against influenza,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation; prophylactic vaccination against influenza
99.53,vaccinate against viral encephalit,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation; prophylactic vaccination against arthropod-borne viral encephalitis
99.54,vaccinate arthrop viral disease nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation; prophylactic vaccination against other arthropod-borne viral diseases
99.55,vaccinate against disease nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation; prophylactic administration of vaccine against other diseases
99.56,administer tetanus antitoxin,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation; administration of tetanus antitoxin
99.57,administer botulism antitoxin,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation; administration of botulism antitoxin
99.58,administer antitoxin nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation; administration of other antitoxins
99.59,vaccination/inoculation nos,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; other vaccination and inoculation
99.6,conversion of cardiac rhythm,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; conversion of cardiac rhythm
99.60,cardiopulmonary resuscitation nos,"miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; conversion of cardiac rhythm; cardiopulmonary resuscitation, not otherwise specified"
99.61,atrial cardioversion,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; conversion of cardiac rhythm; atrial cardioversion
99.62,electric heart countershock nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; conversion of cardiac rhythm; other electric countershock of heart
99.63,closed chest cardiac massage,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; conversion of cardiac rhythm; closed chest cardiac massage
99.64,carotid sinus stimulation,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; conversion of cardiac rhythm; carotid sinus stimulation
99.69,conversion of cardiac rhythm nec,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; conversion of cardiac rhythm; other conversion of cardiac rhythm
99.7,therapeutic apheresis/oth inj/infsn,"miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; therapeutic apheresis or other injection, administration, or infusion of other therapeutic or prophylactic substance"
99.71,therapeutic plasmapheresis,"miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; therapeutic apheresis or other injection, administration, or infusion of other therapeutic or prophylactic substance; therapeutic plasmapheresis"
99.72,therapeutic leukopheresis,"miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; therapeutic apheresis or other injection, administration, or infusion of other therapeutic or prophylactic substance; therapeutic leukopheresis"
99.73,therapeutic erythrocytapheresis,"miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; therapeutic apheresis or other injection, administration, or infusion of other therapeutic or prophylactic substance; therapeutic erythrocytapheresis"
99.74,therapeutic plateletpheresis,"miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; therapeutic apheresis or other injection, administration, or infusion of other therapeutic or prophylactic substance; therapeutic plateletpheresis"
99.75,administer neuroprotective agent,"miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; therapeutic apheresis or other injection, administration, or infusion of other therapeutic or prophylactic substance; administration of neuroprotective agent"
99.76,extracorporeal immunoadsorption,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; extracorporeal immunoadsorption
99.77,apply/admin adhesion barrier sbst,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; application or administration of adhesion barrier substance
99.78,aquapheresis,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; aquapheresis
99.79,therapeutic apheresis nec,"miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; therapeutic apheresis or other injection, administration, or infusion of other therapeutic or prophylactic substance; other"
99.8,miscellaneous physical procedures,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; miscellaneous physical procedures
99.81,hypothermia,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; miscellaneous physical procedures; hypothermia (central) (local)
99.82,ultraviolet light therapy,miscellaneous diagnostic and therapeutic procedures; other nonoperative procedures; miscellaneous physical procedures; ultraviolet light therapy
